Year,State,Make,Model
2018,CO,Acura,RDXAWD
2018,CA,Acura,TLXFWD
2018,IL,Acura,TLXFWD
2018,FL,Acura,TLXFWD
2018,PA,Acura,RDXAWD
2018,TX,Acura,TLXFWD
2018,KS,Acura,TLXFWD
2018,MD,Acura,TLXSH-AWD
2018,KS,Acura,TLXSH-AWD
2018,OK,Acura,TLXSH-AWD
2018,NC,Acura,TLXFWD
2018,UT,Acura,RDXAWD
2018,CA,Acura,TLXSH-AWD
2018,NC,Acura,TLXSH-AWD
2018,PA,Acura,TLXSH-AWD
2018,IL,Acura,TLXSH-AWD
2018,IL,Acura,RDXAWD
2018,PA,Acura,TLXFWD
2018,MA,Acura,RDXFWD
2018,MA,Acura,RDXAWD
2018,TX,Acura,TLXSH-AWD
2018,WA,Alfa,Romeo
2018,TX,Audi,Q3Premium
2018,TN,Audi,A5
2018,NJ,Audi,Q5Premium
2018,TX,Audi,A4Premium
2018,MD,Audi,S3Premium
2018,CA,Audi,A5
2018,CO,Audi,Q5Premium
2018,CO,Audi,Q3Premium
2018,CA,Audi,Q3Premium
2018,IL,Audi,A5
2018,FL,Audi,A6Premium
2018,RI,Audi,A5
2018,TX,Audi,Q5Premium
2018,VA,Audi,Q5Premium
2018,IL,Audi,Q5Premium
2018,OR,Audi,Q5Premium
2018,AZ,Audi,Q5Premium
2018,TX,Audi,A5
2018,MA,Audi,Q5Premium
2018,GA,Audi,S4Premium
2018,NM,Audi,A5
2018,FL,Audi,A5
2018,IL,Audi,S4Premium
2018,GA,Audi,SQ5Premium
2018,TX,Audi,S4Premium
2018,VA,Audi,Q73.0
2018,GA,Audi,Q5Premium
2018,TX,Audi,S5
2018,LA,Audi,S5
2018,NJ,Audi,TT
2018,WA,Audi,SQ5Premium
2018,TX,Audi,S4Prestige
2018,TX,Audi,Q73.0
2018,NY,BMW,3
2018,MD,BMW,3
2018,MD,BMW,X1xDrive28i
2018,PA,BMW,X1xDrive28i
2018,PA,BMW,3
2018,FL,BMW,4
2018,GA,BMW,4
2018,CA,BMW,4
2018,MA,BMW,4
2018,MD,BMW,X4xDrive28i
2018,CA,BMW,5
2018,TX,BMW,X4xDrive28i
2018,NJ,BMW,4
2018,GA,BMW,X4xDrive28i
2018,NY,BMW,4
2018,TX,BMW,4
2018,MD,BMW,4
2018,FL,BMW,X4xDrive28i
2018,AL,BMW,4
2018,VA,BMW,4
2018,SC,BMW,5
2018,NC,BMW,4
2018,MD,BMW,5
2018,KY,BMW,4
2018,IL,BMW,4
2018,CO,BMW,4
2018,MA,BMW,X4xDrive28i
2018,MN,BMW,X4xDrive28i
2018,NY,BMW,5
2018,NY,BMW,X4xDrive28i
2018,PA,BMW,4
2018,OH,BMW,4
2018,TN,BMW,4
2018,IL,BMW,X4M40i
2018,FL,BMW,X4M40i
2018,MD,BMW,X4M40i
2018,NY,BMW,X4M40i
2018,MN,BMW,X4M40i
2018,GA,BMW,X4M40i
2018,NM,BMW,X4M40i
2018,MD,BMW,X5xDrive35i
2018,PA,BMW,5
2018,FL,Cadillac,ATS
2018,FL,Cadillac,XT5FWD
2018,FL,Cadillac,CTS
2018,NJ,Cadillac,CT6
2018,FL,Cadillac,CTS-V
2018,NC,Chevrolet,EquinoxFWD
2018,FL,Chevrolet,EquinoxFWD
2018,TN,Chevrolet,EquinoxFWD
2018,CT,Chevrolet,EquinoxFWD
2018,GA,Chevrolet,EquinoxFWD
2018,OH,Chevrolet,EquinoxFWD
2018,MD,Chevrolet,EquinoxAWD
2018,FL,Chevrolet,EquinoxAWD
2018,AR,Chevrolet,EquinoxFWD
2018,WV,Chevrolet,CruzeSedan
2018,TX,Chevrolet,EquinoxFWD
2018,CA,Chevrolet,EquinoxFWD
2018,CT,Chevrolet,EquinoxAWD
2018,MI,Chevrolet,EquinoxFWD
2018,NY,Chevrolet,EquinoxAWD
2018,MD,Chevrolet,EquinoxFWD
2018,KY,Chevrolet,EquinoxFWD
2018,MS,Chevrolet,EquinoxFWD
2018,PA,Chevrolet,EquinoxFWD
2018,LA,Chevrolet,EquinoxFWD
2018,GA,Chevrolet,EquinoxAWD
2018,NJ,Chevrolet,EquinoxFWD
2018,PA,Chevrolet,EquinoxAWD
2018,IL,Chevrolet,EquinoxAWD
2018,UT,Chevrolet,EquinoxAWD
2018,DE,Chevrolet,EquinoxAWD
2018,OK,Chevrolet,CamaroCoupe
2018,AZ,Chevrolet,EquinoxFWD
2018,VA,Chevrolet,EquinoxAWD
2018,MI,Chevrolet,EquinoxAWD
2018,AL,Chevrolet,EquinoxFWD
2018,MN,Chevrolet,EquinoxAWD
2018,MS,Chevrolet,EquinoxAWD
2018,FL,Chevrolet,ColoradoCrew
2018,NM,Chevrolet,ColoradoCrew
2018,VA,Chevrolet,EquinoxFWD
2018,TX,Chevrolet,TraverseFWD
2018,MI,Chevrolet,TraverseFWD
2018,MO,Chevrolet,TraverseFWD
2018,MO,Chevrolet,EquinoxFWD
2018,MA,Chevrolet,EquinoxAWD
2018,TX,Chevrolet,TraverseAWD
2018,TX,Chevrolet,Silverado
2018,OH,Chevrolet,CamaroCoupe
2018,CO,Chevrolet,CamaroCoupe
2018,MI,Chevrolet,Silverado
2018,MT,Chevrolet,Silverado
2018,TX,Chevrolet,CorvetteCoupe
2018,FL,Dodge,DurangoSXT
2018,GA,Dodge,ChargerR/T
2018,UT,Ford,FusionSE
2018,UT,Ford,Transit
2018,UT,Ford,F-150XL
2018,UT,Ford,F-150Lariat
2018,UT,Ford,F-150Limited
2018,WV,Ford,F-150Raptor
2018,FL,Ford,F-150Raptor
2018,TX,Ford,F-150Raptor
2018,NV,Genesis,G803.8L
2018,CA,Genesis,G803.8L
2018,PA,GMC,TerrainAWD
2018,WI,Honda,FitSport
2018,AZ,Honda,FitSport
2018,TX,Honda,FitEX-L
2018,IN,Honda,HR-VEX-L
2018,FL,Honda,OdysseyEX-L
2018,OH,Honda,OdysseyEX-L
2018,WA,Honda,OdysseyEX-L
2018,PA,Honda,OdysseyEX-L
2018,GA,Honda,RidgelineRTL-E
2018,MD,Honda,OdysseyEX-L
2018,MI,Honda,OdysseyTouring
2018,KY,Honda,OdysseyTouring
2018,WI,Honda,OdysseyElite
2018,IN,Honda,OdysseyTouring
2018,TX,Honda,OdysseyElite
2018,NC,Honda,OdysseyTouring
2018,GA,Honda,OdysseyElite
2018,AZ,Honda,OdysseyTouring
2018,MD,Honda,OdysseyElite
2018,IL,Honda,OdysseyElite
2018,CA,Honda,OdysseyTouring
2018,VA,Honda,OdysseyElite
2018,CA,Honda,OdysseyElite
2018,PA,Honda,OdysseyElite
2018,TX,Honda,OdysseyEX
2018,NJ,Honda,OdysseyEX-L
2018,TX,Honda,OdysseyTouring
2018,FL,Honda,OdysseyTouring
2018,MN,Honda,OdysseyElite
2018,VA,Hyundai,ElantraLimited
2018,OR,Hyundai,ElantraSEL
2018,MO,Hyundai,SonataSEL
2018,AZ,Hyundai,SonataSport
2018,AL,Hyundai,SonataLimited
2018,IL,Hyundai,SonataLimited
2018,FL,Hyundai,Elantra
2018,NJ,Hyundai,Santa
2018,WI,Hyundai,ElantraValue
2018,AZ,Hyundai,Santa
2018,TX,Hyundai,Santa
2018,AZ,Hyundai,Elantra
2018,PA,Hyundai,ElantraSE
2018,FL,Hyundai,Santa
2018,IL,INFINITI,QX30Luxury
2018,IL,INFINITI,QX30Premium
2018,TN,INFINITI,QX30Premium
2018,FL,Jaguar,F-PACE25t
2018,FL,Jaguar,F-PACE35t
