,State,Make,Model,StateEncode,MakeEncode,ModelEncode
379301,39,0,51,NY,Honda,CR-Z3dr
380360,51,0,57,VA,Honda,CR-ZManual
380429,54,0,57,WA,Honda,CR-ZManual
380708,29,0,53,MS,Honda,CR-ZCVT
381038,39,0,53,NY,Honda,CR-ZCVT
381195,48,0,53,TN,Honda,CR-ZCVT
381572,55,0,129,WI,Honda,InsightBase
381802,49,0,75,TX,Honda,CivicSi
381961,54,0,53,WA,Honda,CR-ZCVT
382191,17,0,97,ID,Honda,FitLX
382232,23,0,52,MA,Honda,CR-ZAutomatic
382693,51,0,53,VA,Honda,CR-ZCVT
382888,55,0,53,WI,Honda,CR-ZCVT
383224,44,0,52,PA,Honda,CR-ZAutomatic
383315,7,0,128,CT,Honda,Insight5dr
383318,6,0,52,CO,Honda,CR-ZAutomatic
383331,0,0,51,AK,Honda,CR-Z3dr
383559,27,0,132,MN,Honda,InsightEX
383576,33,0,132,ND,Honda,InsightEX
383709,11,0,56,FL,Honda,CR-ZLX
383892,24,0,130,MD,Honda,InsightCVT
383981,1,0,97,AL,Honda,FitLX
384022,51,0,132,VA,Honda,InsightEX
384199,15,0,129,HI,Honda,InsightBase
384306,49,0,57,TX,Honda,CR-ZManual
384390,48,0,54,TN,Honda,CR-ZEX
384405,23,0,51,MA,Honda,CR-Z3dr
384443,22,0,97,LA,Honda,FitLX
384691,11,0,52,FL,Honda,CR-ZAutomatic
384796,30,0,98,MT,Honda,FitManual
385002,18,0,132,IL,Honda,InsightEX
385031,50,0,94,UT,Honda,FitAutomatic
385106,37,0,97,NM,Honda,FitLX
385113,33,0,95,ND,Honda,FitEX
385180,15,0,56,HI,Honda,CR-ZLX
385218,55,0,51,WI,Honda,CR-Z3dr
385277,46,0,54,SC,Honda,CR-ZEX
385395,41,0,130,OK,Honda,InsightCVT
385564,53,0,132,Va,Honda,InsightEX
385690,38,0,132,NV,Honda,InsightEX
385889,52,0,51,VT,Honda,CR-Z3dr
385894,40,0,98,OH,Honda,FitManual
385998,38,0,51,NV,Honda,CR-Z3dr
386003,7,0,54,CT,Honda,CR-ZEX
386020,31,0,132,Md,Honda,InsightEX
386060,50,0,57,UT,Honda,CR-ZManual
386210,13,0,72,GA,Honda,CivicGX
386219,42,0,129,OR,Honda,InsightBase
386385,17,0,96,ID,Honda,FitEX-L
386386,46,0,132,SC,Honda,InsightEX
386492,18,0,130,IL,Honda,InsightCVT
386740,56,0,95,WV,Honda,FitEX
386832,23,0,132,MA,Honda,InsightEX
386865,38,0,133,NV,Honda,InsightLX
386907,18,0,98,IL,Honda,FitManual
386994,51,0,98,VA,Honda,FitManual
387007,1,0,99,AL,Honda,FitSport
387115,6,0,70,CO,Honda,CivicContinuously
387410,11,0,71,FL,Honda,CivicEX
387503,7,0,52,CT,Honda,CR-ZAutomatic
387587,14,0,51,Ga,Honda,CR-Z3dr
387624,16,0,128,IA,Honda,Insight5dr
387635,40,0,57,OH,Honda,CR-ZManual
387667,35,0,95,NH,Honda,FitEX
387727,25,0,53,ME,Honda,CR-ZCVT
387799,54,0,55,WA,Honda,CR-ZEX-L
388020,23,0,133,MA,Honda,InsightLX
388111,53,0,16,Va,Honda,Accord
388145,29,0,97,MS,Honda,FitLX
388169,46,0,99,SC,Honda,FitSport
388203,33,0,97,ND,Honda,FitLX
388288,52,0,92,VT,Honda,Fit
388295,3,0,98,AZ,Honda,FitManual
388408,19,0,133,IN,Honda,InsightLX
388410,20,0,132,KS,Honda,InsightEX
388571,3,0,51,AZ,Honda,CR-Z3dr
388653,28,0,99,MO,Honda,FitSport
388729,54,0,76,WA,Honda,CivicVP
388987,25,0,95,ME,Honda,FitEX
